city,ideb
AGUA BRANCA,2.8
AGUIAR,2.8
ALAGOA GRANDE,3.4
ALAGOA NOVA,3.1
ALAGOINHA,2.6
ALCANTIL,-
ALHANDRA,2.5
SAO JOAO DO RIO DO PEIXE,3.4
APARECIDA,2.7
ARACAGI,3.6
ARARA,2.7
ARARUNA,3.0
AREIA,2.6
AREIAL,2.9
AROEIRAS,2.7
ASSUNCAO,-
BAIA DA TRAICAO,2.9
BANANEIRAS,3.1
BARRA DE SANTANA,2.3
BARRA DE SANTA ROSA,3.6
BAYEUX,2.4
BELEM,2.7
BELEM DO BREJO DO CRUZ,4.0
BOA VENTURA,2.2
BOA VISTA,-
BOM SUCESSO,4.0
BONITO DE SANTA FE,3.4
BOQUEIRAO,3.1
IGARACY,2.9
BORBOREMA,3.3
BREJO DO CRUZ,-
BREJO DOS SANTOS,3.8
CABACEIRAS,-
CABEDELO,3.3
CACHOEIRA DOS INDIOS,2.9
CACIMBA DE AREIA,3.3
CACIMBA DE DENTRO,3.5
CACIMBAS,2.8
CAICARA,-
CAJAZEIRAS,2.8
CAJAZEIRINHAS,-
CALDAS BRANDAO,3.2
CAMALAU,3.9
CAMPINA GRANDE,2.9
CARAUBAS,-
CARRAPATEIRA,-
CASSERENGUE,-
CATINGUEIRA,-
CATOLE DO ROCHA,3.6
CATURITE,-
CONCEICAO,2.8
CONDADO,3.3
CONDE,3.1
CONGO,2.7
COREMAS,3.5
COXIXOLA,-
CRUZ DO ESPIRITO SANTO,2.7
CUBATI,4.3
CUITE,3.9
CUITEGI,2.2
CURRAL VELHO,-
DESTERRO,3.2
VISTA SERRANA,3.2
DIAMANTE,-
DONA INES,-
DUAS ESTRADAS,-
EMAS,-
ESPERANCA,2.7
FAGUNDES,2.5
GADO BRAVO,-
GUARABIRA,3.3
GURINHEM,2.6
GURJAO,-
IBIARA,2.7
IMACULADA,2.5
INGA,2.1
ITABAIANA,3.3
ITAPORANGA,2.7
ITAPOROROCA,2.7
ITATUBA,2.8
JACARAU,3.4
JERICO,2.3
JOAO PESSOA,3.3
JUAREZ TAVORA,3.6
JUAZEIRINHO,2.3
JUNCO DO SERIDO,3.1
JURIPIRANGA,3.4
JURU,3.4
LAGOA,3.1
LAGOA DE DENTRO,3.5
LAGOA SECA,2.7
LIVRAMENTO,2.8
LOGRADOURO,3.0
LUCENA,2.0
MAE D AGUA,-
MALTA,3.1
MAMANGUAPE,2.7
MANAIRA,2.3
MARI,3.3
MARIZOPOLIS,2.8
MASSARANDUBA,3.2
MATINHAS,2.7
MATO GROSSO,-
MOGEIRO,2.7
MONTE HOREBE,-
MONTEIRO,3.2
MULUNGU,3.0
NATUBA,2.3
NAZAREZINHO,3.9
NOVA FLORESTA,2.5
NOVA OLINDA,3.8
NOVA PALMEIRA,4.7
OLHO D AGUA,3.7
OURO VELHO,-
PARARI,-
PATOS,3.1
PAULISTA,-
PEDRA BRANCA,-
PEDRA LAVRADA,-
PEDRAS DE FOGO,2.2
PIANCO,2.6
PICUI,3.6
PILAR,3.1
PILOES,4.0
PILOEZINHOS,2.9
PIRPIRITUBA,3.4
PITIMBU,2.7
POCINHOS,-
POCO DANTAS,-
POCO DE JOSE DE MOURA,-
POMBAL,3.2
PRATA,4.6
PRINCESA ISABEL,3.0
PUXINANA,2.3
QUEIMADAS,2.2
QUIXABA,-
REMIGIO,3.3
RIACHAO DO BACAMARTE,2.0
RIACHO DE SANTO ANTONIO,-
RIACHO DOS CAVALOS,2.9
RIO TINTO,2.2
SALGADO DE SAO FELIX,3.0
SANTA CECILIA,3.1
SANTA CRUZ,3.6
SANTA HELENA,4.0
SANTA INES,-
SANTA LUZIA,4.2
SANTANA DOS GARROTES,2.9
JOCA CLAUDINO,-
SANTA RITA,2.8
SANTA TERESINHA,-
SANTO ANDRE,-
SAO BENTO,4.3
SAO DOMINGOS DO CARIRI,3.1
SAO DOMINGOS,-
SAO FRANCISCO,-
SAO JOAO DO CARIRI,4.0
SAO JOAO DO TIGRE,3.7
SAO JOSE DA LAGOA TAPADA,3.7
SAO JOSE DE CAIANA,3.1
SAO JOSE DE ESPINHARAS,-
SAO JOSE DOS RAMOS,1.8
SAO JOSE DE PIRANHAS,3.6
SAO JOSE DE PRINCESA,3.0
SAO JOSE DO SABUGI,-
SAO JOSE DOS CORDEIROS,3.4
SAO MAMEDE,3.7
SAO MIGUEL DE TAIPU,2.7
SAO SEBASTIAO DE LAGOA DE ROCA,3.1
SAO SEBASTIAO DO UMBUZEIRO,3.4
SAPE,2.8
SERIDO,3.6
SERRA BRANCA,3.0
SERRA DA RAIZ,4.0
SERRA GRANDE,-
SERRA REDONDA,2.7
SERRARIA,2.7
SERTAOZINHO,3.2
SOBRADO,-
SOLANEA,2.9
SOLEDADE,3.1
SOSSEGO,2.1
SOUSA,3.4
SUME,3.1
TACIMA,2.7
TAPEROA,2.9
TAVARES,3.7
TEIXEIRA,2.8
TRIUNFO,-
UIRAUNA,2.9
UMBUZEIRO,3.3
VARZEA,-
VIEIROPOLIS,-
ZABELE,3.5
